year,Akmolinsk,Aktyubinsk,Alma-Ata's region,Atyrau,Zhambyl,Karaganda,Kostanay,Kyzylorda,Mangistau,Pavlodar,Astana,Almaty,Shymkent,South Kazakhstan,Eastern Kazakhstan,North-Kazakhstan,Western-Kazakhstan
2001,17945,16940,25269,14795,14714,46150,24358,38751,14012,23012,7783,11425,24230,21587,32549,7824,15606
2002,17491,21634,40484,21167,12018,50472,22219,37938,12872,23991,7077,11198,23423,22063,35132,8268,18742
2003,12999,13560,23110,9676,7885,44546,18273,21255,8700,20339,7488,8093,22341,22100,30638,9295,15589
2004,13169,15271,20602,10677,15798,48802,17708,17665,9658,20153,8334,8591,12387,25471,32219,9582,8292
2005,12604,13368,20238,12828,9107,42654,16680,14166,9726,18542,8499,6568,35610,24150,29444,10040,13908
2006,14775,13524,20848,13930,11127,41332,16297,11279,8959,22206,8555,7708,28674,28620,22108,9556,13571
2007,11476,13816,19913,15221,9588,37097,15043,10443,7610,15862,7498,6660,41234,21427,23360,8508,12751
2008,9819,13795,20091,15378,10413,37005,14396,11830,7135,14800,11130,4880,42279,27474,24941,9307,15607
2009,19461,39628,36536,27321,36984,67886,26169,28332,13080,33691,26109,19576,35331,96388,65321,22097,23990
2010,13238,23321,27441,26843,22965,43361,19529,25427,12069,26038,20048,14459,45543,64186,48063,18543,28807
2011,11137,17617,22003,19169,17323,41845,10451,24535,10801,18140,14855,8005,33122,45144,28485,14208,18819
2012,11433,21265,21636,14098,19377,41011,10761,26595,16372,15268,12639,6693,35441,58828,29069,15082,24376
2013,11390,20156,21152,16337,19009,38040,10950,28130,13098,14016,11565,6375,18957,52198,24600,13957,24314
2014,10883,19107,22023,15348,19632,37802,11368,31389,15357,14065,11870,6369,8725,47589,25315,14263,20930
2015,13544,23886,32147,16042,24391,48376,19692,31374,15348,18573,11826,18669,28622,59745,36947,17250,21147
2016,18659,35461,45366,19745,29028,63233,23751,32847,19439,23435,14010,21285,21169,87697,40298,18725,25468
2017,21329,43930,48390,26894,36629,57006,27536,32210,31264,25532,15681,31434,11368,119376,54483,22012,28741
2018,20308,46154,61988,24333,35161,55416,27604,36674,38211,25077,20738,37256,34066,56479,62868,21941,29223
2019,23121,44000,57056,23446,37857,55479,28540,34488,44640,28401,19502,48032,41481,102113,41056,23667,29274
2020,22832,57191,62380,33063,50312,46148,31780,42279,38529,29977,29706,76082,35332,44021,39442,25808,39523
2021,18393,52989,65178,26077,54338,39296,30333,38114,32173,26802,18924,47711,40330,46456,32277,20919,32580
